
=78,RWTH Aachen UniversityGermany,"42,298",54.9,17%,32 : 68
=80,University of GroningenNetherlandsExplore,"25,281",24.4,13%,52 : 48
=80,University of PittsburghUnited States,"26,501",5.9,10%,51 : 49
=82,Dartmouth CollegeUnited States,"6,109",6.7,15%,47 : 53
=82,Emory UniversityUnited States,"12,649",4.4,19%,57 : 43
=82,Technical University of BerlinGermany,"20,548",60.3,19%,34 : 66
=82,University of WarwickUnited Kingdom,"18,558",14.6,38%,47 : 53
86,Utrecht UniversityNetherlands,"31,142",15.6,7%,59 : 41
87,Rice UniversityUnited States,"6,447",9.0,27%,43 : 57
88,University of GlasgowUnited KingdomExplore,"22,856",15.3,32%,57 : 43
=89,Korea Advanced Institute of Science and Technology (KAIST)South KoreaExplore,"9,327",9.5,9%,20 : 80
=89,University of TübingenGermany,"28,074",37.3,11%,58 : 42
=91,University of HelsinkiFinlandExplore,"23,369",17.0,6%,65 : 35
=91,Kyoto UniversityJapan,"22,547",5.5,7%,n/a
93,Uppsala UniversitySweden,"25,275",16.6,12%,57 : 43
94,Maastricht UniversityNetherlandsExplore,"16,030",18.3,47%,58 : 42
95,University of FreiburgGermany,"25,890",33.7,16%,52 : 48
=96,Durham UniversityUnited Kingdom,"15,705",15.3,26%,54 : 46
=96,Lund UniversitySweden,"28,852",12.0,15%,53 : 47
=98,Aarhus UniversityDenmark,"24,633",13.9,14%,55 : 45
=98,University of BaselSwitzerland,"12,560",17.4,24%,54 : 46
=98,"University of California, IrvineUnited States","29,304",17.2,18%,53 : 47
101,Michigan State UniversityUnited States,"45,297",15.8,16%,51 : 49
102,University of MannheimGermany,"10,808",84.0,14%,55 : 45
103,University of MontrealCanada,"37,651",20.2,24%,58 : 42
=104,Georgetown UniversityUnited States,"15,726",8.6,15%,54 : 46
=104,Pohang University of Science and TechnologySouth KoreaExplore,"3,017",10.0,4%,22 : 78
106,University of ZurichSwitzerland,"26,042",6.1,18%,57 : 43
107,University of AlbertaCanada,"33,159",21.1,24%,55 : 45
108,Vanderbilt UniversityUnited States,"12,161",3.1,9%,52 : 48
109,University of SheffieldUnited Kingdom,"23,961",15.3,33%,50 : 50
=110,University of BernSwitzerland,"14,651",23.3,14%,55 : 45
=110,University of St AndrewsUnited Kingdom,"8,453",12.2,46%,57 : 43
112,University of GöttingenGermany,"26,549",26.1,12%,50 : 50
=113,University of BonnGermany,"33,939",73.3,13%,55 : 45
=113,McMaster UniversityCanadaExplore,"23,943",20.4,16%,52 : 48
=113,Queen Mary University of LondonUnited Kingdom,"14,502",13.2,42%,52 : 48
=116,University of Colorado BoulderUnited States,"29,741",16.3,9%,44 : 56
=116,École PolytechniqueFranceExplore,"2,669",5.0,31%,18 : 82
118,Ghent UniversityBelgium,"35,374",37.0,9%,53 : 47
119,City University of Hong KongHong KongExplore,"9,871",11.6,30%,52 : 48
120,University of CopenhagenDenmark,"29,796",4.2,17%,62 : 38
=121,Pierre and Marie Curie UniversityFrance,"28,473",8.0,17%,48 : 52
=121,Radboud University NijmegenNetherlands,"19,079",19.1,11%,57 : 43
=121,University of SouthamptonUnited Kingdom,"21,049",12.8,31%,53 : 47
=121,University of VirginiaUnited States,"23,797",10.0,12%,53 : 47
125,University of Western AustraliaAustraliaExplore,"20,777",23.0,27%,50 : 50
=126,Case Western Reserve UniversityUnited States,"9,622",6.6,18%,48 : 52
=126,University of ExeterUnited KingdomExplore,"18,233",17.5,27%,55 : 45
128,Université Catholique de LouvainBelgium,"23,916",38.1,19%,54 : 46
129,University of YorkUnited Kingdom,"14,676",15.3,26%,55 : 45
130,University of BirminghamUnited KingdomExplore,"26,362",16.7,25%,54 : 46
131,Arizona State UniversityUnited States,"43,082",20.1,16%,44 : 56
=131,Trinity College DublinIreland,"15,805",23.4,25%,58 : 42
132,University of OsloNorway,"27,215",18.7,18%,54 : 46
133,University of LeedsUnited Kingdom,"27,791",15.0,22%,59 : 41
134,University of FloridaUnited States,"44,911",17.0,9%,54 : 46
=135,Tufts UniversityUnited States,"10,462",10.1,15%,54 : 46
=135,Ulm UniversityGermany,"10,370",27.3,12%,47 : 53
=137,University of GenevaSwitzerland,"15,587",15.0,40%,61 : 39
=137,Lancaster UniversityUnited Kingdom,"11,673",13.6,35%,52 : 48
=137,Scuola Normale Superiore di PisaItaly,545,15.1,6%,30 : 70
=137,Sungkyunkwan University (SKKU)South KoreaExplore,"24,791",19.1,10%,n/a
141,"Rutgers, the State University of New JerseyUnited States","42,892",10.8,8%,52 : 48
142,University of AdelaideAustraliaExplore,"20,462",29.6,27%,47 : 53
143,University of Notre DameUnited States,"11,821",13.5,10%,45 : 55
=144,Karlsruhe Institute of TechnologyGermany,"25,948",24.5,17%,27 : 73
=144,Stockholm UniversitySweden,"31,272",23.5,8%,62 : 38
146,"University of California, Santa CruzUnited States","17,203",24.5,2%,53 : 47
147,University of NottinghamUnited KingdomExplore,"29,738",14.7,28%,53 : 47
148,University of Cape TownSouth Africa,"20,061",11.6,17%,53 : 47
149,University of SussexUnited Kingdom,"12,293",15.8,35%,55 : 45
150,Indiana UniversityUnited States,"66,057",14.2,14%,52 : 48
=151,University of LausanneSwitzerland,"12,647",13.5,24%,n/a
=151,University of RochesterUnited States,"9,628",4.5,28%,51 : 49
=153,University of Science and Technology of ChinaChina,"14,827",8.1,3%,n/a
=153,University of TwenteNetherlandsExplore,"6,583",12.5,28%,36 : 64
155,Fudan UniversityChina,"32,449",12.1,11%,50 : 50
=156,University of ArizonaUnited States,"37,023",12.8,9%,52 : 48
=156,Vrije Universiteit AmsterdamNetherlands,"24,592",15.5,7%,56 : 44
158,University of LiverpoolUnited KingdomExplore,"19,085",11.7,34%,53 : 47
159,KTH Royal Institute of TechnologySweden,"12,841",15.9,17%,31 : 69
160,University of Erlangen-NurembergGermany,"37,882",55.4,9%,49 : 51
=161,University of MünsterGermany,"41,807",42.4,6%,53 : 47
=161,University of ViennaAustria,"34,711",20.3,26%,67 : 33
163,Autonomous University of BarcelonaSpainExplore,"31,095",12.4,11%,59 : 41
164,TU DresdenGermany,"35,468",36.3,12%,42 : 58
=165,University of AucklandNew ZealandExplore,"30,287",18.9,29%,54 : 46
=165,"University of California, RiversideUnited States","20,901",22.6,13%,51 : 49
=165,University of East AngliaUnited Kingdom,"13,997",13.9,28%,58 : 42
=165,University of MassachusettsUnited States,"58,624",13.1,13%,49 : 51
169,Texas A&M UniversityUnited States,"53,694",22.1,9%,47 : 53
=170,University of CologneGermany,"44,882",41.3,11%,61 : 39
=170,University of GothenburgSweden,"17,761",10.6,12%,n/a
172,University of LeicesterUnited Kingdom,"14,179",12.5,36%,53 : 47
=173,"Royal Holloway, University of LondonUnited Kingdom","8,551",15.3,38%,58 : 42
=173,University of WaterlooCanadaExplore,"31,776",24.8,15%,45 : 55
175,Pompeu Fabra UniversitySpain,"10,791",20.1,12%,59 : 41
176,Technical University of DenmarkDenmark,"8,063",5.7,18%,27 : 73
177,Eindhoven University of TechnologyNetherlandsExplore,"10,015",19.4,14%,22 : 78
178,University of LuxembourgLuxembourg,"5,219",17.2,55%,51 : 49
179,Paris-Sud UniversityFrance,"26,642",14.1,17%,55 : 45
=180,University of DundeeUnited KingdomExplore,"11,266",14.7,24%,61 : 39
=180,University of HamburgGermanyExplore,"37,501",46.7,11%,57 : 43
=182,Cardiff UniversityUnited Kingdom,"23,549",14.3,25%,56 : 44
=182,University of MiamiUnited States,"16,054",6.0,15%,51 : 49
=182,Northeastern UniversityUnited States,"18,368",14.5,28%,50 : 50
=182,University of the WitwatersrandSouth AfricaExplore,"24,565",24.5,8%,56 : 44
=186,Hebrew University of JerusalemIsrael,"17,709",10.8,5%,57 : 43
=186,University of WürzburgGermany,"22,297",33.5,8%,57 : 43
=188,University of AberdeenUnited Kingdom,"11,554",13.6,32%,55 : 45
=188,Lomonosov Moscow State UniversityRussian Federation,"29,563",7.4,21%,45 : 55
=190,Newcastle UniversityUnited KingdomExplore,"20,307",15.6,28%,49 : 51
=190,Scuola Superiore Sant’AnnaItaly,679,13.1,13%,38 : 62
=192,Hong Kong Polytechnic UniversityHong KongExplore,"21,907",25.6,25%,54 : 46
=192,University of ReadingUnited Kingdom,"12,086",13.9,29%,56 : 44
194,University of KonstanzGermany,"11,335",50.4,12%,54 : 46
=195,University of CalgaryCanada,"28,047",16.0,18%,53 : 47
=195,National Taiwan UniversityTaiwan,"31,581",11.6,8%,40 : 60
