rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook
201—250,Stony Brook UniversityUnited States,22867,10.9,24%,49 : 51,46.3—50.4,34.7,24.5,86.8,35.6,55.6
201—250,University of StuttgartGermany,15721,30.3,14%,30 : 70,46.3—50.4,42.3,44.5,53.4,100,47.2
201—250,"University of Technology, SydneyAustralia",25069,44,35%,52 : 48,46.3—50.4,27.1,40,73.8,44.2,92.3
201—250,Technical University of DarmstadtGermany,20719,51.9,18%,28 : 72,46.3—50.4,38.2,43,52.5,95.1,54.7
201—250,Tel Aviv UniversityIsrael,23663,24,4%,n/a,46.3—50.4,41,51.1,55.1,45.3,49.1
201—250,University of Texas at DallasUnited StatesExplore,17825,25,25%,44 : 56,46.3—50.4,26.9,32.5,90.4,43.3,53.1
201—250,Tohoku UniversityJapan,17349,5.4,9%,26 : 74,46.3—50.4,48.6,47.3,50.4,69.5,32.4
201—250,University of TrentoItaly,17118,28.2,9%,52 : 48,46.3—50.4,23.6,27.7,89.3,41.3,57.3
201—250,University of UtahUnited States,30193,14.8,10%,45 : 55,46.3—50.4,37.9,30.5,86.7,47.8,32.5
201—250,Wake Forest UniversityUnited States,7451,4.5,5%,50 : 50,46.3—50.4,37.8,20.3,92.6,41.3,26.1
201—250,Western UniversityCanada,28060,21.6,16%,55 : 45,46.3—50.4,40.1,34.9,69.3,55.1,73.6
201—250,Zhejiang UniversityChinaExplore,47845,15.2,5%,41 : 59,46.3—50.4,51.7,54.2,44.5,89.2,22
201—250,École Normale Supérieure de LyonFrance,2238,8.4,15%,46 : 54,46.3—50.4,44.5,30.4,64.5,34.9,68.4
251—300,University of BathUnited Kingdom,11765,16.5,30%,45 : 55,43.5—46.2,31.8,31,65.1,37.2,85.5
251—300,University of BayreuthGermany,12709,37.8,7%,46 : 54,43.5—46.2,32.6,31.4,66.3,63.5,53.8
251—300,Bielefeld UniversityGermanyExplore,22279,69.6,8%,57 : 43,43.5—46.2,37.6,43.7,55.6,59.3,46.2
251—300,University at BuffaloUnited States,26418,18.8,21%,46 : 54,43.5—46.2,38,29,66.1,42.8,64.6
251—300,Chalmers University of TechnologySweden,8819,11.9,15%,31 : 69,43.5—46.2,38.8,28.5,61.9,70.8,75.8
251—300,Charles Darwin UniversityAustralia,6096,21.3,25%,66 : 34,43.5—46.2,18.4,19,91.7,44.3,77.2
251—300,Colorado School of MinesUnited States,5437,17.7,11%,27 : 73,43.5—46.2,32.6,27.8,73.5,74.9,39.9
251—300,Copenhagen Business SchoolDenmark,19154,42.9,21%,48 : 52,43.5—46.2,19.8,24.4,76.8,39.4,89.9
251—300,Dalhousie UniversityCanada,15293,14.9,19%,55 : 45,43.5—46.2,29.1,29.6,70.7,47.6,80.1
251—300,Deakin UniversityAustraliaExplore,34968,31.1,17%,59 : 41,43.5—46.2,23,24.5,75.5,34.1,76.8
251—300,Free University of Bozen-BolzanoItaly,2813,4.1,16%,67 : 33,43.5—46.2,22.8,8.1,96.1,32.3,79.9
251—300,University of FribourgSwitzerland,10701,46.2,18%,58 : 42,43.5—46.2,33.7,32.7,56.8,59.7,86.8
251—300,Griffith UniversityAustraliaExplore,31031,22.3,20%,56 : 44,43.5—46.2,22.6,28.5,74.8,41.3,82.3
251—300,University of HohenheimGermany,9524,42.1,13%,57 : 43,43.5—46.2,34.1,30.1,66.5,49.6,51.1
251—300,James Cook UniversityAustraliaExplore,12004,22.9,13%,63 : 37,43.5—46.2,21.7,22.3,84.2,43.2,74.1
251—300,Johannes Gutenberg University of MainzGermany,35215,31.5,10%,58 : 42,43.5—46.2,35.8,22,76.3,57.8,54.5
251—300,Koç UniversityTurkeyExplore,4793,14.6,9%,52 : 48,43.5—46.2,25.2,29.8,70.3,81.9,54.4
251—300,Laval UniversityCanada,28757,16.9,12%,57 : 43,43.5—46.2,37,27.3,67.2,54.7,65.5
251—300,Macquarie UniversityAustraliaExplore,27532,32.8,24%,55 : 45,43.5—46.2,32.5,36.5,62.3,41.3,75
251—300,University of MarburgGermany,26085,39,9%,56 : 44,43.5—46.2,35.1,27.2,73.7,37.4,49.6
251—300,Mines ParisTechFrance,1289,5.5,26%,29 : 71,43.5—46.2,43.5,20.3,64.5,98.6,63.4
251—300,National Tsing Hua UniversityTaiwan,10260,13.6,6%,33 : 67,43.5—46.2,38.7,40.1,55.8,47.3,26.6
251—300,Norwegian University of Science and TechnologyNorway,22031,18.3,11%,48 : 52,43.5—46.2,30.1,32.8,65.5,46.5,65.3
251—300,Oregon Health and Science UniversityUnited States,2861,1.1,2%,65 : 35,43.5—46.2,29.7,15.3,97.6,44.9,23.2
251—300,Osaka UniversityJapan,23087,7.6,9%,30 : 70,43.5—46.2,52.6,49.6,38.2,73.9,28.8
251—300,University of OttawaCanada,34946,25.3,15%,60 : 40,43.5—46.2,38.1,21,67.5,41.5,71.8
251—300,Rensselaer Polytechnic InstituteUnited States,6829,15.5,17%,31 : 69,43.5—46.2,33.6,33.5,67.3,79.1,43.1
251—300,Ruhr University BochumGermany,42718,61.2,13%,49 : 51,43.5—46.2,36.7,36.2,56.9,59.2,51.6
251—300,Rush UniversityUnited States,1987,2.2,3%,71 : 29,43.5—46.2,38.4,13.6,89.8,44,22.3
251—300,Sapienza University of RomeItaly,115327,31.8,7%,59 : 41,43.5—46.2,38.3,35.3,67.2,41,37.6
251—300,University of South AustraliaAustraliaExplore,19996,29.6,33%,57 : 43,43.5—46.2,29.9,29.9,58.4,82.9,90.1
251—300,University of Southern DenmarkDenmark,25313,13.5,16%,53 : 47,43.5—46.2,21.4,23.6,81.6,69.9,76.9
251—300,University of SurreyUnited KingdomExplore,10377,13.3,38%,54 : 46,43.5—46.2,30,32.6,60.9,37.6,91.8
251—300,Swedish University of Agricultural SciencesSweden,3838,4.6,%,68 : 32,43.5—46.2,31.3,22.3,77.7,98.9,46.8
251—300,Syracuse UniversityUnited States,19930,16.1,17%,54 : 46,43.5—46.2,32.9,25.9,75.4,36.4,41.4
251—300,University of São PauloBrazil,83201,14.7,4%,48 : 52,43.5—46.2,57.2,60.2,25.7,39.6,28.3
251—300,University of TampereFinlandExplore,9530,21.7,5%,66 : 34,43.5—46.2,26.2,29.3,75.9,52.2,40.1
251—300,"University of Tennessee, KnoxvilleUnited States",26988,17.8,4%,n/a,43.5—46.2,30.5,21.5,83,42.1,39.5
251—300,Tokyo Institute of TechnologyJapanExplore,9587,7.4,13%,13 : 87,43.5—46.2,48.4,50.5,41.7,64.1,32.9
251—300,Umeå UniversitySweden,16698,11.7,10%,60 : 40,43.5—46.2,22.6,28.6,79.7,35.2,59.9
251—300,Vienna University of TechnologyAustria,17620,35.8,27%,29 : 71,43.5—46.2,38.1,25.5,57.7,70.9,79.1
251—300,Virginia Polytechnic Institute and State UniversityUnited States,30850,18.1,10%,42 : 58,43.5—46.2,34.9,39.9,62.1,44.1,31.4
251—300,William & MaryUnited States,7963,11.9,8%,55 : 45,43.5—46.2,40.8,16.8,82.2,32.7,28.8
251—300,University of WollongongAustralia,16581,25.5,24%,50 : 50,43.5—46.2,28.3,32.1,64.1,49.2,87
251—300,Yonsei UniversitySouth Korea,22469,11.9,20%,n/a,43.5—46.2,44.2,40.1,44,79.8,48.3
301—350,Aberystwyth UniversityUnited Kingdom,8735,17.1,18%,47 : 53,40.7—43.3,20.5,21.3,77.5,34.9,75.1
301—350,Aix-Marseille UniversityFrance,74345,19.6,13%,60 : 40,40.7—43.3,34.5,21.2,69.5,35.1,57.2
301—350,University of Alaska FairbanksUnited States,3875,8.4,7%,52 : 48,40.7—43.3,28.3,24,70.5,50.5,55
301—350,Anglia Ruskin UniversityUnited Kingdom,16740,24.5,25%,61 : 39,40.7—43.3,14.7,10.5,99.2,32.8,67
301—350,Bangor UniversityUnited Kingdom,9162,18.3,21%,55 : 45,40.7—43.3,25.2,21.9,65.9,33.6,81.3
301—350,University of BordeauxFranceExplore,52169,19.5,12%,58 : 42,40.7—43.3,29.8,19.6,76.6,34.6,54.4
301—350,University of BremenGermany,18904,34.8,11%,50 : 50,40.7—43.3,36.2,29.4,61.7,47,50.4
301—350,Brunel University LondonUnited Kingdom,11646,16.4,39%,46 : 54,40.7—43.3,24.9,26,61.3,37.2,92.3
301—350,Central European UniversityHungary,1298,5.8,77%,51 : 49,40.7—43.3,39.8,27,48.8,32.2,97
301—350,Clark UniversityUnited States,3239,11.7,25%,57 : 43,40.7—43.3,24.4,8,93.7,32.8,59
301—350,Colorado State UniversityUnited States,23998,16.4,5%,53 : 47,40.7—43.3,29.6,32.6,63.4,43.6,35.1
301—350,University of ConnecticutUnited States,26109,12.6,7%,51 : 49,40.7—43.3,37,28.2,62.5,35.1,40.6
301—350,University of CreteGreece,14518,26.7,4%,62 : 38,40.7—43.3,18.7,19.1,83,37.8,46.9
301—350,University of DenverUnited States,9568,13.3,10%,57 : 43,40.7—43.3,37.7,23.6,67.2,34.9,28.7
301—350,University of EssexUnited Kingdom,10154,18.3,44%,54 : 46,40.7—43.3,32.3,36,47.7,32.8,95.2
301—350,Federal University of Toulouse Midi-PyrénéesFrance,93250,23.3,19%,54 : 46,40.7—43.3,30.9,26.2,62.4,36.2,62.8
301—350,George Mason UniversityUnited States,27337,17.4,8%,54 : 46,40.7—43.3,28.1,24.6,73.4,33.4,38.7
301—350,University of GeorgiaUnited States,33241,19.5,7%,57 : 43,40.7—43.3,33,35,57.2,34.9,41.7
301—350,"Goldsmiths, University of LondonUnited Kingdom",7257,16.5,38%,67 : 33,40.7—43.3,28.4,30.6,63.8,32.2,75.4
301—350,Grenoble Alpes UniversityFrance,37815,16.3,15%,53 : 47,40.7—43.3,26.7,21.9,71.7,34.3,60
301—350,Gwangju Institute of Science and TechnologySouth Korea,1575,10.7,7%,23 : 77,40.7—43.3,39.5,39.9,51.9,44.9,35.2
301—350,University of InnsbruckAustria,14360,13.3,38%,54 : 46,40.7—43.3,26.1,18.7,70.8,43.1,96.2
301—350,Justus Liebig University GiessenGermany,27980,46.9,9%,61 : 39,40.7—43.3,33.2,29.4,60.5,41.5,46.9
301—350,University of KentUnited KingdomExplore,17080,13.2,29%,53 : 47,40.7—43.3,22.8,22.3,68.7,32.5,89.3
301—350,Linköping UniversitySweden,18966,8.2,11%,51 : 49,40.7—43.3,23.9,15.3,79.6,41.7,62.1
301—350,University of LiègeBelgium,21611,27.9,23%,54 : 46,40.7—43.3,27.1,33.3,55.4,99.4,70.3
301—350,Loughborough UniversityUnited Kingdom,13677,14.9,22%,38 : 62,40.7—43.3,32.9,34.4,54,37,73.2
301—350,University of MilanItaly,58990,27.6,5%,59 : 41,40.7—43.3,32.8,24.5,69.9,42.9,39.4
301—350,Moscow Institute of Physics and TechnologyRussian Federation,5535,7.8,12%,n/a,40.7—43.3,47.7,33.1,40.8,98.7,50
301—350,Nagoya UniversityJapan,15619,8,10%,29 : 71,40.7—43.3,44.4,41.8,41.2,83.6,28.3
301—350,University of NavarraSpain,10584,14.1,16%,52 : 48,40.7—43.3,29.7,23.9,65.3,55.6,55.6
301—350,University of Nebraska-LincolnUnited StatesExplore,22068,16.2,10%,47 : 53,40.7—43.3,31.2,29.1,67.2,38.5,48
301—350,University of OregonUnited States,24268,19.8,13%,52 : 48,40.7—43.3,24.8,24.5,77.7,33.3,35.5
301—350,Oregon State UniversityUnited States,23464,16.3,10%,46 : 54,40.7—43.3,29.3,28.2,69.7,36,46
301—350,University of PaduaItaly,62267,19.1,4%,55 : 45,40.7—43.3,24.5,20.4,80.6,35.5,39
301—350,University of PaviaItaly,22010,38.7,7%,57 : 43,40.7—43.3,25.3,22.1,73.6,59.3,43.3
301—350,Royal Veterinary CollegeUnited Kingdom,1802,10.3,18%,76 : 24,40.7—43.3,26.4,18.3,69.1,41.8,83.3
301—350,Sabancı UniversityTurkeyExplore,2999,17.7,8%,39 : 61,40.7—43.3,24.3,32.9,61.6,77.7,46.7
301—350,Saint Louis UniversityUnited States,11919,5.7,8%,58 : 42,40.7—43.3,36,11.9,80.4,33.9,28.9
301—350,University of StirlingUnited KingdomExplore,8028,15.1,20%,61 : 39,40.7—43.3,22.6,24.7,69.6,33.7,75.1
301—350,University of StrasbourgFrance,43709,17.2,19%,58 : 42,40.7—43.3,27.2,21.3,67.8,35.7,69.6
301—350,Swansea UniversityUnited Kingdom,13048,16.5,21%,48 : 52,40.7—43.3,21,26.1,71.8,35.7,75.8
301—350,University of TartuEstonia,9464,12.2,4%,66 : 34,40.7—43.3,23.6,23.1,80.9,34.5,48.4
301—350,University of TasmaniaAustraliaExplore,14838,19.7,18%,58 : 42,40.7—43.3,22.3,29.6,66.3,51.7,77.3
301—350,TU Dortmund UniversityGermany,30998,100.3,10%,46 : 54,40.7—43.3,35.5,29.8,57.1,48.7,41.5
301—350,Technion Israel Institute of TechnologyIsrael,13926,19.8,4%,35 : 65,40.7—43.3,33.2,36.1,55.9,38.7,62.5
301—350,Temple UniversityUnited States,33672,13.3,6%,52 : 48,40.7—43.3,37.2,21.6,68.4,37.4,31.1
301—350,University of TurkuFinland,12167,15.9,5%,62 : 38,40.7—43.3,27,22.7,72.6,34.5,49.6
301—350,University of VictoriaCanada,18028,22,12%,57 : 43,40.7—43.3,22.1,22.5,77.9,37.9,73.7
301—350,Vrije Universiteit BrusselBelgium,12484,21.8,21%,54 : 46,40.7—43.3,27.3,23.7,66.7,48.3,70
301—350,York UniversityCanadaExplore,46565,40.8,22%,58 : 42,40.7—43.3,29.9,39.7,50.7,37.4,73.5
351—400,Aston UniversityUnited Kingdom,8563,16.4,32%,48 : 52,37.6—40.6,20.6,23.9,56.2,34.3,93.5
351—400,Bilkent UniversityTurkeyExplore,9761,14.1,4%,46 : 54,37.6—40.6,23.4,19.9,68.3,39.7,51.9
351—400,"Binghamton University, State University of New YorkUnited States",16628,23.7,14%,48 : 52,37.6—40.6,24.3,20.4,68.5,35.9,40.3
351—400,University of CalabriaItaly,30219,36.4,3%,59 : 41,37.6—40.6,14.7,25.8,84.2,33.4,31.1
351—400,University of CanterburyNew Zealand,11943,16.4,20%,50 : 50,37.6—40.6,23.8,26.8,56.2,40.5,89.7
351—400,"City, University of LondonUnited KingdomExplore",12489,16.1,49%,54 : 46,37.6—40.6,24.1,25.9,56.2,33.3,91
351—400,Claude Bernard University Lyon 1France,35944,17.2,8%,50 : 50,37.6—40.6,21.1,16.9,73.1,37.6,47.8
351—400,University College CorkIreland,15877,22.4,16%,56 : 44,37.6—40.6,27.7,25.7,54.1,50.6,76
351—400,University of CyprusCyprus,7025,22.5,8%,69 : 31,37.6—40.6,19.1,25.4,66.6,34.7,75
351—400,Drexel UniversityUnited States,21153,11,18%,49 : 51,37.6—40.6,32.6,16,62,37.9,47.8
351—400,University of Eastern FinlandFinland,11098,17.7,6%,63 : 37,37.6—40.6,25,20.5,74.5,35.6,48
351—400,Flinders UniversityAustraliaExplore,16465,23.6,16%,63 : 37,37.6—40.6,22.3,11.3,74.9,36.5,66.1
351—400,Graz University of TechnologyAustria,6312,10.1,16%,23 : 77,37.6—40.6,28.5,15.4,60,67.8,71.2
351—400,University of GuelphCanada,21547,28.4,4%,60 : 40,37.6—40.6,26.1,33,48.7,46.9,55.4
351—400,Hanyang UniversitySouth KoreaExplore,21629,14.1,15%,n/a,37.6—40.6,35,35.6,35.6,81.8,51.5
351—400,Hong Kong Baptist UniversityHong KongExplore,11038,11.1,29%,62 : 38,37.6—40.6,23.3,13.6,67.4,32.9,79.1
351—400,University of HoustonUnited States,39402,42.5,9%,50 : 50,37.6—40.6,35.4,29.4,54.3,40.6,36.8
351—400,ITMO UniversityRussian Federation,11875,10.4,10%,n/a,37.6—40.6,27.3,17.2,67.1,72.4,40.8
351—400,Indian Institute of Technology BombayIndia,9207,16.3,1%,17 : 83,37.6—40.6,39.2,31.1,52.8,46.9,19.2
351—400,Iowa State UniversityUnited States,32951,18.7,12%,46 : 54,37.6—40.6,31.2,25.3,60.6,47.5,37.9
351—400,University of KaiserslauternGermany,14226,53.7,15%,37 : 63,37.6—40.6,34.7,23.2,50.3,69.2,46.3
351—400,University of KansasUnited States,24345,7.6,9%,51 : 49,37.6—40.6,36.7,24.5,54.5,38.3,33.7
351—400,University of KentuckyUnited States,31225,19,6%,53 : 47,37.6—40.6,36.6,29.3,51.4,39,38.2
351—400,Kyung Hee UniversitySouth KoreaExplore,23692,17.3,16%,47 : 53,37.6—40.6,28.5,35.5,48.5,79.3,51.5
351—400,Kyushu UniversityJapan,18650,6.6,11%,29 : 71,37.6—40.6,41.9,35.1,35.7,70.8,31.2
351—400,La Trobe UniversityAustraliaExplore,22422,29.6,25%,63 : 37,37.6—40.6,26.7,29.7,49,45.5,78.7
351—400,Leibniz University of HanoverGermany,23126,61.9,12%,41 : 59,37.6—40.6,37.4,37.1,43.2,62,44.5
351—400,University of MacauMacaoExplore,8981,14.6,33%,58 : 42,37.6—40.6,21.5,22,53.3,46.3,98.8
351—400,Autonomous University of MadridSpainExplore,26969,12.4,16%,60 : 40,37.6—40.6,32.3,28.3,57.4,35.8,51.6
351—400,University of Milan-BicoccaItaly,32892,65.8,6%,62 : 38,37.6—40.6,25.5,22.7,70.8,43.9,42.2
351—400,University of MissouriUnited States,30535,11.3,6%,53 : 47,37.6—40.6,30.9,19.3,67,33.8,34
351—400,Montpellier UniversityFrance,39313,19.7,14%,54 : 46,37.6—40.6,32.7,18.1,64.6,35.9,57.7
351—400,Maynooth UniversityIrelandExplore,7850,28.8,12%,55 : 45,37.6—40.6,25.5,24.2,61,37.5,77.6
351—400,Norwegian University of Life SciencesNorway,5655,7.3,21%,53 : 47,37.6—40.6,25.7,13.2,68.3,37.9,78
351—400,University of OklahomaUnited States,27054,10.3,6%,52 : 48,37.6—40.6,33.5,17.9,64.1,37.3,33.6
351—400,Paris-Sorbonne University – Paris 4France,21488,27.9,19%,70 : 30,37.6—40.6,48.6,38.6,27.9,32.2,54.2
351—400,Plymouth UniversityUnited Kingdom,18508,19.3,14%,52 : 48,37.6—40.6,20,20.4,71.9,32.5,66.6
351—400,Polytechnic University of TurinItaly,29422,27.9,16%,29 : 71,37.6—40.6,25.8,19,66.8,49.4,48.5
351—400,University of SalernoItaly,37862,56.3,1%,61 : 39,37.6—40.6,18.2,13.1,86.7,39.2,30.8
351—400,Swinburne University of TechnologyAustralia,13606,26.4,27%,39 : 61,37.6—40.6,22.9,24,60.3,35.5,74.5
351—400,University of Texas at San AntonioUnited States,25870,21.4,7%,48 : 52,37.6—40.6,17.3,16.2,85,32.4,32.6
351—400,Toyota Technological InstituteJapan,505,11.2,3%,7 : 93,37.6—40.6,22.2,17,78.6,59,24.1
351—400,University of TriesteItaly,18144,26.5,9%,56 : 44,37.6—40.6,26.1,17.9,74.9,35.7,46
351—400,Tulane UniversityUnited States,11495,11.8,11%,56 : 44,37.6—40.6,41.4,15.7,61,35.5,37.9
351—400,University of TurinItaly,67678,43.7,6%,63 : 37,37.6—40.6,21.2,20.4,72.9,45.4,38.9
351—400,Victoria UniversityAustraliaExplore,15270,32.5,22%,55 : 45,37.6—40.6,22.5,22.1,66.9,37.2,70.8
351—400,Victoria University of WellingtonNew Zealand,16940,20.1,21%,55 : 45,37.6—40.6,23.3,30.2,48.4,53.6,88.6
351—400,Washington State UniversityUnited States,26439,20.1,8%,51 : 49,37.6—40.6,29.6,29.6,59.8,56.9,43.3
351—400,Wayne State UniversityUnited States,22405,10.7,8%,57 : 43,37.6—40.6,33,15.7,71.9,42.2,33.3
351—400,École des Ponts ParisTechFrance,1810,12.9,44%,31 : 69,37.6—40.6,32.9,13.8,61.2,69.7,65.9
351—400,Örebro UniversitySweden,8698,15.9,2%,61 : 39,37.6—40.6,17.7,5.9,91.7,33.7,43.6
401—500,American UniversityUnited States,11636,12,12%,61 : 39,32.6—37.5,40.5,21.3,51.4,37.8,30.1
401—500,Aristotle University of ThessalonikiGreece,44433,22.3,9%,58 : 42,32.6—37.5,20,15.8,61.8,37.3,39.9
401—500,Atılım UniversityTurkeyExplore,6394,27.2,8%,n/a,32.6—37.5,19,8.1,75.3,47.9,33.2
401—500,University of AveiroPortugal,10641,17.7,9%,51 : 49,32.6—37.5,30.2,26.2,44.5,41.5,46.5
401—500,Bar-Ilan UniversityIsrael,16974,15.1,5%,59 : 41,32.6—37.5,23.5,23,49,32.8,51.5
401—500,University of Bari Aldo MoroItaly,49536,67,2%,64 : 36,32.6—37.5,26,17,61.5,40.4,33.2
401—500,University of BergamoItaly,15849,49.2,6%,63 : 37,32.6—37.5,22.2,15.8,64.8,39,31.6
401—500,Boğaziçi UniversityTurkey,11555,25.6,7%,50 : 50,32.6—37.5,20.9,23.8,57.7,57.4,45.4
401—500,University of BresciaItaly,14616,26.4,7%,46 : 54,32.6—37.5,15.1,14.1,74.5,38.2,37.9
401—500,State University of CampinasBrazil,26966,14.9,3%,48 : 52,32.6—37.5,44.9,39.6,28,46.5,24.1
401—500,University of CanberraAustralia,11287,31,28%,53 : 47,32.6—37.5,19.9,24.6,50.8,35,60.1
401—500,Polytechnic University of CataloniaSpain,21995,10.2,12%,27 : 73,32.6—37.5,27.1,17.5,51.2,41.5,51.4
401—500,Central Queensland UniversityAustraliaExplore,12300,26.6,28%,57 : 43,32.6—37.5,19,9.9,73.7,35.1,59.4
401—500,Charles University in PragueCzech Republic,50992,13.3,15%,61 : 39,32.6—37.5,30.5,21.4,54.6,32.4,54.6
401—500,Chung-Ang UniversitySouth Korea,12221,16.8,22%,44 : 56,32.6—37.5,36.4,31.9,23.3,63.6,49.9
401—500,University of CoimbraPortugal,23329,20.1,14%,55 : 45,32.6—37.5,24.1,27.2,44.6,38.2,51.3
401—500,Curtin UniversityAustraliaExplore,31353,18.4,36%,53 : 47,32.6—37.5,21,23.5,52.1,39.5,93.8
401—500,Cyprus University of TechnologyCyprus,3012,18.9,6%,57 : 43,32.6—37.5,17.1,13.1,70.3,34,67
401—500,Dublin City UniversityIreland,8856,24.9,18%,50 : 50,32.6—37.5,26.7,26.7,42.7,46.7,78.6
401—500,Ewha Womans UniversitySouth Korea,14989,14.2,10%,100 : 0,32.6—37.5,28.4,23.9,46.7,68.7,41.4
401—500,Federico Santa María Technical UniversityChileExplore,18424,28.3,2%,22 : 78,32.6—37.5,14.2,10.8,69,41,54.7
401—500,University of FerraraItaly,13781,22.9,7%,56 : 44,32.6—37.5,18.8,17.2,68.4,40.3,42.8
401—500,University of FlorenceItaly,53378,18.3,7%,60 : 40,32.6—37.5,20,14,72.6,38.1,40.4
401—500,Florida International UniversityUnited States,33983,25.8,7%,56 : 44,32.6—37.5,25.4,20.1,57.7,35.2,35.3
401—500,University of GenoaItaly,35777,29.2,9%,56 : 44,32.6—37.5,27.7,16.7,64.3,45.2,40.2
401—500,Georgia State UniversityUnited States,28788,19.2,5%,58 : 42,32.6—37.5,28.1,23.7,60.2,32.3,30.5
401—500,University of GrazAustria,20770,23.6,12%,65 : 35,32.6—37.5,23.1,17,56.2,33.2,69.5
401—500,University of GreifswaldGermany,8628,17,5%,54 : 46,32.6—37.5,30.3,19.7,60.6,37.7,43.8
401—500,Hasselt UniversityBelgium,4913,16.8,10%,46 : 54,32.6—37.5,21.7,20.9,61.6,49.7,55.2
401—500,Heriot-Watt UniversityUnited Kingdom,9289,16.9,42%,41 : 59,32.6—37.5,22.2,24,49.3,42.8,92.1
401—500,Higher School of EconomicsRussian Federation,16170,9.1,5%,n/a,32.6—37.5,31.4,26.6,46.6,40.3,32.2
401—500,Hokkaido UniversityJapan,18055,8.1,9%,29 : 71,32.6—37.5,42.2,36.2,30.9,55,29.8
401—500,Huazhong University of Science and TechnologyChina,56211,17.1,4%,35 : 65,32.6—37.5,31,24.7,43.6,68,19.9
401—500,Indian Institute of Technology DelhiIndia,6926,13.8,1%,19 : 81,32.6—37.5,37.5,23.9,47,71.7,15.9
401—500,Indian Institute of Technology KanpurIndia,6513,16.7,1%,14 : 86,32.6—37.5,34.6,22.9,38.4,98.8,17.9
401—500,Indian Institute of Technology MadrasIndia,8692,15.5,1%,19 : 81,32.6—37.5,38.3,22.3,41.2,81.1,17.5
401—500,Johannes Kepler University of LinzAustria,6652,11.7,9%,51 : 49,32.6—37.5,25.3,15.5,49.9,41.2,58
401—500,University of JyväskyläFinland,9591,15.4,5%,62 : 38,32.6—37.5,27.7,13.9,55.4,35.4,48.2
401—500,Kazan Federal UniversityRussian Federation,24028,10.9,9%,71 : 29,32.6—37.5,25.2,14.3,61.2,42.5,30.4
401—500,Keele UniversityUnited Kingdom,8302,14.9,22%,56 : 44,32.6—37.5,18.3,20.4,53.6,33.2,73.6
401—500,Kent State UniversityUnited States,23059,18.6,8%,59 : 41,32.6—37.5,22.3,17.1,64.6,32.4,34.3
401—500,King Fahd University of Petroleum and MineralsSaudi Arabia,6617,6.8,21%,0 : 100,32.6—37.5,28.7,16.8,36.7,92.8,86.8
401—500,Lehigh UniversityUnited States,6400,11.3,16%,44 : 56,32.6—37.5,24.9,18.5,63.2,38,39.1
401—500,University of LilleFrance,67189,27.5,12%,56 : 44,32.6—37.5,19.3,18.8,56.9,37.4,55.4
401—500,Lincoln UniversityNew Zealand,2985,14,23%,47 : 53,32.6—37.5,25.5,20.8,49.6,41.7,86
401—500,University of LisbonPortugal,47756,17.8,10%,52 : 48,32.6—37.5,26.3,24,59,37.8,47.6
401—500,Makerere UniversityUganda,37423,29.2,9%,51 : 49,32.6—37.5,15.1,11.8,78,36.7,58.3
401—500,University of ManitobaCanada,29111,28,13%,55 : 45,32.6—37.5,28.7,26.3,53.4,40.6,42.2
401—500,Marche Polytechnic UniversityItaly,16830,23.6,4%,46 : 54,32.6—37.5,21.2,7.2,85.8,37.5,28.1
401—500,"University of Maryland, Baltimore CountyUnited States",13979,17.8,8%,46 : 54,32.6—37.5,21.3,18.7,58.8,33.4,29.6
401—500,Massey UniversityNew Zealand,18681,16.1,28%,61 : 39,32.6—37.5,22.5,19.6,43.3,39.1,92.2
401—500,University of Modena and Reggio EmiliaItaly,20141,26.4,6%,54 : 46,32.6—37.5,16.2,10.2,76.2,36,36
401—500,University of MontanaUnited States,10304,17.6,4%,55 : 45,32.6—37.5,34.4,15.4,64.8,36,25.4
401—500,Murdoch UniversityAustraliaExplore,16391,33.2,45%,59 : 41,32.6—37.5,17.9,23.5,57.3,42.8,90.7
401—500,University of NantesFrance,34714,22.8,11%,55 : 45,32.6—37.5,17.3,15.5,64.9,35.5,45.4
401—500,University of Naples Federico IIItaly,82500,61.2,n/a,56 : 44,32.6—37.5,21.6,12.4,76.3,40.1,22.2
401—500,National Cheng Kung University (NCKU)Taiwan,21157,14.3,11%,36 : 64,32.6—37.5,30.4,38,29.2,99.4,29.9
401—500,National Chiao Tung UniversityTaiwan,12609,17.1,6%,27 : 73,32.6—37.5,33,40.2,35.3,89.3,33.4
401—500,National Research Nuclear University MEPhIRussian FederationExplore,7297,9.8,10%,29 : 71,32.6—37.5,38,27.2,41.9,99.7,35.9
401—500,National Taiwan University of Science and Technology (Taiwan Tech)TaiwanExplore,8070,19,11%,31 : 69,32.6—37.5,30.1,40.5,38.5,70.1,32.3
401—500,University of NeuchâtelSwitzerland,4208,8.8,22%,60 : 40,32.6—37.5,24.9,17.6,46.1,34,91.4
401—500,New Mexico State UniversityUnited States,14479,17.8,7%,53 : 47,32.6—37.5,19.8,21,59.3,36.9,33
401—500,University of Nice Sophia AntipolisFrance,28218,20.7,21%,56 : 44,32.6—37.5,21.9,8,58.1,32.5,79.2
401—500,Northern Arizona UniversityUnited States,23167,24.8,5%,66 : 34,32.6—37.5,18.8,11.2,82.7,32.6,26.9
401—500,Novosibirsk State UniversityRussian Federation,7125,6.7,14%,50 : 50,32.6—37.5,43.2,28.3,33.6,36.3,36
