rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook
57,Humboldt University of BerlinGermany,31043,54.8,17%,n/a,69.2,62.5,69,79.9,39.4,64.4
57,Washington University in St LouisUnited StatesExplore,12528,5.7,17%,n/a,69.2,60.7,56.2,99.1,36.9,45.5
59,Delft University of TechnologyNetherlands,16174,18.9,25%,27 : 73,67.9,56.2,72.9,67.3,99.9,85.9
60,University of QueenslandAustralia,38892,35.4,25%,55 : 45,67.2,49.7,60.1,86.1,70.6,88.6
60,University of Southern CaliforniaUnited States,38466,13.6,23%,52 : 48,67.2,50.5,60,94.7,39.4,62.7
60,University of SydneyAustraliaExplore,42678,19,29%,57 : 43,67.2,51.3,63.2,83.2,63.9,83.7
63,University of AmsterdamNetherlandsExplore,25344,14.3,10%,58 : 42,67.1,49.4,62,90.3,54.6,69.3
64,Boston UniversityUnited States,24714,8.4,19%,59 : 41,66.9,60.2,48.5,97.7,34.4,54.6
65,Wageningen University & ResearchNetherlands,9535,15.6,23%,56 : 44,66.6,51.8,50.1,92.8,100,75.6
66,École Normale SupérieureFrance,1548,9.6,18%,40 : 60,65.8,59.8,52.3,85.8,40,72.2
67,"University of Maryland, College ParkUnited States",31353,16.8,9%,48 : 52,65.3,51,63.2,91.1,38.5,36.7
68,Pennsylvania State UniversityUnited States,45359,12.3,13%,46 : 54,65,55.6,63.3,82.9,51.9,42.7
69,Erasmus University RotterdamNetherlandsExplore,21854,20.6,19%,49 : 51,64.6,38.8,56.8,95.6,57.7,77.1
70,Purdue UniversityUnited States,38788,17.7,22%,42 : 58,64.5,57.2,66.8,69,62.5,67.7
71,University of BristolUnited Kingdom,18544,13.6,25%,52 : 48,64.4,45.9,51.7,92.7,40.9,83.2
72,Ohio State UniversityUnited States,52497,12.8,12%,49 : 51,64.2,57,53.1,86.2,50.6,54.6
72,Seoul National UniversitySouth Korea,26777,13.1,11%,n/a,64.2,70.2,69.8,58.8,85.2,32.4
74,Monash UniversityAustraliaExplore,44217,34.5,25%,57 : 43,64,49.5,57.4,78.5,76,87.1
75,Free University of BerlinGermany,32909,53.9,21%,58 : 42,63.7,58.1,67.3,66.9,38.9,67.2
76,Chinese University of Hong KongHong KongExplore,18433,10.5,27%,n/a,63.6,52.2,60.4,74.6,44.7,84
77,Leiden UniversityNetherlandsExplore,23597,17.8,11%,59 : 41,63.3,46.1,57.9,86.1,47.3,68.1
78,University of New South WalesAustraliaExplore,39121,26.3,32%,46 : 54,63,43.2,58.6,81.4,49.7,91
78,RWTH Aachen UniversityGermany,42298,54.9,17%,32 : 68,63,53.3,63.7,71.3,99.4,53.4
80,University of GroningenNetherlandsExplore,25281,24.4,13%,52 : 48,62.2,41.9,55.1,87.1,79.9,66.4
80,University of PittsburghUnited States,26501,5.9,10%,51 : 49,62.2,49.2,51.9,94.2,39.6,35.4
82,Dartmouth CollegeUnited States,6109,6.7,15%,47 : 53,62,58.6,41.1,94.2,39.9,37.9
82,Emory UniversityUnited States,12649,4.4,19%,57 : 43,62,52.9,39.7,97.4,43.2,52.7
82,Technical University of BerlinGermany,20548,60.3,19%,34 : 66,62,49.8,59.3,74.3,98,60.8
82,University of WarwickUnited Kingdom,18558,14.6,38%,47 : 53,62,46.8,52.6,80.9,40.8,91.4
86,Utrecht UniversityNetherlands,31142,15.6,7%,59 : 41,61.9,46.1,48.5,90.7,80.7,57.6
87,Rice UniversityUnited States,6447,9,27%,43 : 57,61.7,46.9,38.7,99.1,43.4,69.5
88,University of GlasgowUnited KingdomExplore,22856,15.3,32%,57 : 43,61.4,40.6,47.8,90.6,39.4,88.6
89,Korea Advanced Institute of Science and Technology (KAIST)South KoreaExplore,9327,9.5,9%,20 : 80,61.3,55.7,53.2,78.5,100,34.3
89,University of TübingenGermany,28074,37.3,11%,58 : 42,61.3,46,56.2,82.9,56.3,57.8
91,University of HelsinkiFinlandExplore,23369,17,6%,65 : 35,61.2,47,57.6,83.5,34.9,52.2
91,Kyoto UniversityJapan,22547,5.5,7%,n/a,61.2,70.2,70.1,50.4,75.1,28
93,Uppsala UniversitySweden,25275,16.6,12%,57 : 43,61.1,43,57.1,85.2,40.4,59.9
94,Maastricht UniversityNetherlandsExplore,16030,18.3,47%,58 : 42,61,39.2,48.6,84.4,85.7,96
95,University of FreiburgGermany,25890,33.7,16%,52 : 48,60.9,45.9,49.9,83.6,100,61.1
96,Durham UniversityUnited Kingdom,15705,15.3,26%,54 : 46,60.6,43,49,85,37.4,87
96,Lund UniversitySweden,28852,12,15%,53 : 47,60.6,41.3,53.1,83.2,68.5,74.6
98,Aarhus UniversityDenmark,24633,13.9,14%,55 : 45,60.3,39,54.7,83,65.4,75.7
98,University of BaselSwitzerland,12560,17.4,24%,54 : 46,60.3,40.1,36.8,92.4,99.3,94.4
98,"University of California, IrvineUnited States",29304,17.2,18%,53 : 47,60.3,42.5,45,94.1,45.5,62.3
101,Michigan State UniversityUnited States,45297,15.8,16%,51 : 49,59.9,51.6,48.9,81.1,38.5,58.8
102,University of MannheimGermany,10808,84,14%,55 : 45,59.8,39.1,51.3,88.3,76.4,57.7
103,University of MontrealCanada,37651,20.2,24%,58 : 42,59.7,46.8,47.8,77.4,67.7,85
104,Georgetown UniversityUnited States,15726,8.6,15%,54 : 46,59.6,56.7,39.3,84.6,74.4,47.3
104,Pohang University of Science and TechnologySouth KoreaExplore,3017,10,4%,22 : 78,59.6,53.8,48.7,79.2,99.6,34.2
106,University of ZurichSwitzerland,26042,6.1,18%,57 : 43,59.5,46.4,38.5,87.5,44.2,89.3
107,University of AlbertaCanada,33159,21.1,24%,55 : 45,59.4,49.5,53,69.9,61.3,82.7
108,Vanderbilt UniversityUnited States,12161,3.1,9%,52 : 48,59.3,50.1,37.3,96.7,73.5,29.8
