
71,Erasmus University RotterdamNetherlands,63.5,37.2,55.2,95.6,54.6,76.1
72,Free University of BerlinGermany,63.2,57.9,72.2,60.2,35.1,69.2
73,Monash UniversityAustralia,62.8,48.3,59.1,73.3,82.5,87.6
74,University of GroningenNetherlands,62.4,43.3,56.9,84,92.4,63.9
75,Pennsylvania State UniversityUnited States,62.3,50.4,61.9,80.5,56.2,40.8
 =76,University of GlasgowUnited Kingdom,61.9,41.6,48.3,92.3,31.6,85.8
 =76,University of HelsinkiFinland,61.9,48.4,60.4,82.1,31.6,51.8
78,University of TübingenGermany,61.7,47,59.8,79.3,59.2,58.2
79,University of PittsburghUnited States,61.5,50.6,50.3,92.3,39.3,33.9
80,University of WarwickUnited Kingdom,61.3,47.4,53.1,78.2,37.7,90.3
81,Uppsala UniversitySweden,61.2,44.1,61,80.9,39.5,59.6
 =82,University of CopenhagenDenmark,61,49.8,42.7,86.2,45,83.3
 =82,University of New South WalesAustralia,61,40.7,53.9,82.1,50,89.5
84,University of FreiburgGermany,60.7,47.4,51.1,80.5,100,60.3
85,Seoul National UniversitySouth Korea,60.5,66.5,70.5,50,85.4,30.9
86,University of St AndrewsUnited Kingdom,60.4,49.7,47.3,78.8,30.6,92.3
87,Vanderbilt UniversityUnited States,60.1,47.8,44.2,95.7,63.2,29.1
 =88,Kyoto UniversityJapan,59.9,70.6,69.3,46.6,79,26.1
 =88,Maastricht UniversityNetherlands,59.9,37.5,47.7,82.7,95.4,95.5
 =90,Emory UniversityUnited States,59.7,48.3,37.1,96.7,48.9,51
 =90,Lund UniversitySweden,59.7,39.7,53.6,81.3,70.4,74.1
 =90,Ohio State UniversityUnited States,59.7,51.6,46.6,83.2,53.1,53
93,University of ExeterUnited Kingdom,59.5,39.4,40,94.3,31.9,87.3
 =94,University of BonnGermany,58.8,45.1,47.5,85.3,-,63.6
 =94,Georgetown UniversityUnited States,58.8,54.4,39.3,82.5,80.7,52.7
 =94,McMaster UniversityCanada,58.8,39.8,44.8,84.9,88,76.1
97,University of SheffieldUnited Kingdom,58.6,42.4,48.8,80.1,43.4,81.9
98,Queen Mary University of LondonUnited Kingdom,58.5,34.1,41.3,93.3,36.8,93.5
 =99,University of GöttingenGermany,58,49.3,54.5,72.7,31.8,56.4
 =99,Michigan State UniversityUnited States,58,47.3,52.6,76.8,32.2,56.4
 =101,University of BaselSwitzerland,57.9,39.5,33.1,88.3,99.9,94.7
