rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook,size,country,continent,english_spoken,country_int,continent_int
1001-,Toyo University,30142,33.5,0.01,41,12.3,15.7,9.3,8.1,32.7,21.2,large,Japan,Asia,0.0,69.0,1.0
1001-,University of Tunis El Manar,30301,16.7,0.01,76,15.5,22.7,9.3,7.3,32.1,38.3,large,Tunisia,Africa,0.0,50.0,0.0
1001-,Ural Federal University,24917,9.8,0.07,46,15.0,22.3,11.9,5.8,38.4,27.8,large,Russian Federation,Europe,0.0,139.0,2.0
1001-,Universiti Utara Malaysia,14315,13.0,0.18,73,15.4,24.2,10.3,2.9,32.2,45.3,medium,Malaysia,Asia,0.0,79.0,1.0
1001-,Utsunomiya University,4928,14.5,0.04,36,13.0,18.5,9.2,7.2,33.2,22.0,small,Japan,Asia,0.0,69.0,1.0
1001-,University of Veterinary and Animal Sciences Lahore,5003,28.6,0.13,45,11.8,15.7,9.1,4.4,35.1,29.3,medium,Pakistan,Asia,0.0,84.0,1.0
1001-,V.N. Karazin Kharkiv National University,16067,9.8,0.27,53,14.3,21.3,7.9,3.1,32.0,51.4,large,Ukraine,Europe,0.0,147.0,2.0
1001-,Volgograd State Technical University,9254,12.0,0.06,49,10.3,17.7,6.9,2.0,41.5,17.7,medium,Russian Federation,Europe,0.0,139.0,2.0
1001-,Voronezh State University,15468,10.1,0.09,58,11.6,20.8,7.1,1.9,33.2,24.4,large,Russian Federation,Europe,0.0,139.0,2.0
1001-,Yazd University,13600,23.9,0.13,56,13.0,14.6,9.9,14.8,0.4,15.5,medium,Iran,Asia,0.0,66.0,1.0
1001-,Yeditepe University,23260,25.1,0.01,52,11.7,15.4,8.0,9.7,0.2,23.4,large,Turkey,Asia,0.0,94.0,1.0
1001-,University of Zanjan,10305,25.8,0.13,55,14.6,16.2,9.4,15.7,38.3,17.3,medium,Iran,Asia,0.0,66.0,1.0
