rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook,size,country,continent,english_spoken,country_int,continent_int
137,University of York,14962,15.1,0.27,55,57.3,40.5,44.9,81.6,34.1,85.3,medium,United Kingdom,Europe,1.0,148.0,2.0
139,University of Leeds,27995,14.7,0.26,60,57.1,42.2,46.7,77.8,38.8,82.1,large,United Kingdom,Europe,1.0,148.0,2.0
140,Pompeu Fabra University,11172,20.8,0.12,59,56.9,34.7,38.9,97.1,40.0,62.3,medium,Spain,Europe,0.0,144.0,2.0
141,University of Birmingham,27061,15.0,0.27,54,56.8,36.5,38.3,89.7,37.2,86.3,large,United Kingdom,Europe,1.0,148.0,2.0
141,Eindhoven University of Technology,7637,18.6,0.17,28,56.8,41.3,49.0,72.3,100.0,73.9,medium,Netherlands,Europe,0.0,133.0,2.0
143,University of Florida,46346,17.5,0.09,54,56.6,52.8,51.2,68.4,80.7,37.9,large,United States,North America,1.0,172.0,3.0
143,University of St Andrews,9005,13.0,0.48,58,56.6,42.9,42.5,76.6,33.6,95.5,medium,United Kingdom,Europe,1.0,148.0,2.0
145,University of Cologne,45087,50.9,0.1,65,56.4,39.8,42.7,84.8,76.8,57.1,large,Germany,Europe,0.0,118.0,2.0
146,University of Oslo,27730,18.6,0.19,60,56.3,36.0,42.8,86.8,41.9,73.4,large,Norway,Europe,0.0,135.0,2.0
147,Autonomous University of Barcelona,32309,12.9,0.16,59,56.2,43.3,36.1,89.5,42.1,60.1,large,Spain,Europe,0.0,144.0,2.0
147,University of Nottingham,29176,14.0,0.3,54,56.2,40.5,41.9,80.5,38.5,84.4,large,United Kingdom,Europe,1.0,148.0,2.0
147,University of Sussex,12384,15.4,0.38,55,56.2,34.1,38.1,89.5,33.3,91.5,medium,United Kingdom,Europe,1.0,148.0,2.0
150,Lancaster University,11637,13.1,0.38,51,55.9,37.0,40.5,83.2,33.7,91.1,medium,United Kingdom,Europe,1.0,148.0,2.0
150,University of Notre Dame,11912,13.4,0.11,45,55.9,49.8,37.9,83.0,35.3,50.7,medium,United States,North America,1.0,172.0,3.0
152,University of Lausanne,13065,13.6,0.25,49,55.7,30.4,47.4,78.5,78.4,90.8,medium,Switzerland,Europe,0.0,146.0,2.0
153,Technical University of Denmark,8548,6.0,0.24,29,55.6,35.9,39.5,81.6,63.8,91.6,medium,Denmark,Europe,0.0,113.0,2.0
153,University of Rochester,9636,4.3,0.29,49,55.6,41.7,34.2,90.2,39.5,63.7,medium,United States,North America,1.0,172.0,3.0
155,Scuola Superiore Sant’Anna,690,11.7,0.14,37,55.5,41.6,36.0,88.0,87.8,48.3,small,Italy,Europe,0.0,123.0,2.0
155,TU Dresden,34514,35.9,0.13,42,55.5,42.8,46.9,74.2,95.0,52.6,large,Germany,Europe,0.0,118.0,2.0
155,Ulm University,10657,28.4,0.13,48,55.5,37.1,37.4,90.0,77.3,56.5,medium,Germany,Europe,0.0,118.0,2.0
158,Case Western Reserve University,10130,7.1,0.19,49,55.2,44.4,34.9,90.1,36.7,46.1,medium,United States,North America,1.0,172.0,3.0
159,University of Leicester,14635,14.1,0.38,54,55.0,32.2,34.5,91.4,35.2,89.9,medium,United Kingdom,Europe,1.0,148.0,2.0
159,Texas A&M University,56245,23.6,0.09,48,55.0,50.4,56.3,60.2,41.2,52.0,large,United States,North America,1.0,172.0,3.0
161,University of Arizona,38334,13.0,0.09,52,54.9,44.3,38.7,85.4,46.1,43.3,large,United States,North America,1.0,172.0,3.0
162,University of California Santa Cruz,17866,23.0,0.04,52,54.8,31.5,35.0,99.9,38.2,51.6,large,United States,North America,1.0,172.0,3.0
162,Cardiff University,24186,13.5,0.26,58,54.8,35.8,39.3,84.5,35.5,80.6,large,United Kingdom,Europe,1.0,148.0,2.0
162,University of Erlangen-Nuremberg,38730,58.5,0.12,49,54.8,39.8,44.0,77.6,95.9,53.0,large,Germany,Europe,0.0,118.0,2.0
165,University of Vienna,35375,20.8,0.26,66,54.7,42.6,47.6,66.0,33.2,93.4,large,Austria,Europe,0.0,103.0,2.0
165,Vrije Universiteit Amsterdam,24554,18.1,0.07,56,54.7,32.5,40.7,89.1,56.3,60.7,large,Netherlands,Europe,0.0,133.0,2.0
165,University of Würzburg,22537,33.9,0.09,57,54.7,35.8,42.8,86.5,46.1,53.7,large,Germany,Europe,0.0,118.0,2.0
168,University of Alabama at Birmingham,15703,15.2,0.06,61,54.6,39.7,32.8,95.1,67.6,34.6,large,United States,North America,1.0,172.0,3.0
169,Nanjing University,33456,14.2,0.1,50,54.5,49.6,47.0,64.9,77.8,54.4,large,China,Asia,0.0,61.0,1.0
169,Tufts University,10463,9.3,0.16,54,54.5,44.1,33.4,88.1,36.7,52.7,medium,United States,North America,1.0,172.0,3.0
171,University of Cape Town,20775,11.7,0.18,53,54.4,30.5,36.2,87.0,88.5,81.1,large,South Africa,Africa,0.0,44.0,0.0
172,Rutgers the State University of New Jersey,43439,11.1,0.1,52,54.3,43.0,45.3,79.7,36.9,39.2,large,United States,North America,1.0,172.0,3.0
173,KTH Royal Institute of Technology,12951,16.0,0.17,33,54.2,42.3,46.3,67.0,50.9,83.7,medium,Sweden,Europe,0.0,145.0,2.0
173,University of Münster,42287,42.6,0.07,53,54.2,40.3,42.1,81.2,60.8,47.7,large,Germany,Europe,0.0,118.0,2.0
175,Université Libre de Bruxelles,25343,43.4,0.35,55,54.0,32.4,42.2,80.4,48.4,83.2,large,Belgium,Europe,0.0,106.0,2.0
175,Newcastle University,20952,15.6,0.3,49,54.0,33.4,40.8,80.6,41.6,86.7,large,United Kingdom,Europe,1.0,148.0,2.0
177,University of Liverpool,19815,11.7,0.35,54,53.9,32.7,34.7,86.8,37.1,89.9,large,United Kingdom,Europe,1.0,148.0,2.0
177,Zhejiang University,50051,14.1,0.06,22,53.9,57.0,63.7,45.1,89.4,25.2,large,China,Asia,0.0,61.0,1.0
179,University of Luxembourg,4969,14.6,0.57,50,53.8,26.8,32.4,91.9,39.6,99.8,small,Luxembourg,Europe,0.0,127.0,2.0
179,University of Twente,6697,12.8,0.27,37,53.8,35.5,47.0,68.5,83.6,85.3,medium,Netherlands,Europe,0.0,133.0,2.0
181,Paris-Sud University,27221,14.5,0.16,55,53.7,40.4,33.1,86.8,32.3,63.5,large,France,Europe,0.0,116.0,2.0
182,École Normale Supérieure de Lyon,2221,8.5,0.13,47,53.6,40.1,37.8,80.9,37.9,67.3,small,France,Europe,0.0,116.0,2.0
182,Hong Kong Polytechnic University,21773,26.9,0.25,51,53.6,39.1,48.1,67.7,45.8,79.9,large,Hong Kong,Asia,0.0,63.0,1.0
184,Scuola Normale Superiore di Pisa,515,5.2,0.07,30,53.4,53.7,33.3,75.4,37.7,49.4,small,Italy,Europe,0.0,123.0,2.0
185,University of Aberdeen,12055,13.9,0.36,55,53.3,30.3,33.6,87.1,41.9,93.3,medium,United Kingdom,Europe,1.0,148.0,2.0
186,University of Miami,15860,5.9,0.16,51,53.1,42.5,24.4,90.3,37.2,67.1,large,United States,North America,1.0,172.0,3.0
187,University of Dundee,10893,14.9,0.24,62,52.9,26.3,32.0,94.5,43.4,79.8,medium,United Kingdom,Europe,1.0,148.0,2.0
188,University of East Anglia,13521,13.6,0.3,60,52.8,29.9,31.6,90.5,32.2,85.6,medium,United Kingdom,Europe,1.0,148.0,2.0
188,Shanghai Jiao Tong University,37288,12.4,0.06,41,52.8,53.5,62.5,44.1,88.9,33.4,large,China,Asia,0.0,61.0,1.0
190,Aalto University,12744,20.2,0.2,34,52.7,37.8,35.8,79.5,52.5,72.5,medium,Finland,Europe,0.0,115.0,2.0
191,University of Massachusetts,59230,13.3,0.14,49,52.6,36.3,32.2,88.8,51.0,54.8,large,United States,North America,1.0,172.0,3.0
192,University of Auckland,30348,18.8,0.29,54,52.5,32.5,40.7,73.8,67.3,90.6,large,New Zealand,Oceania,1.0,179.0,4.0
193,Northeastern University,18780,14.0,0.32,49,52.4,35.6,26.8,91.7,35.4,70.1,large,United States,North America,1.0,172.0,3.0
194,Lomonosov Moscow State University,29236,7.3,0.22,48,52.3,74.2,61.6,15.8,89.0,61.1,large,Russian Federation,Europe,0.0,139.0,2.0
195,Tilburg University,7738,22.5,0.13,48,52.1,38.4,50.1,61.3,59.0,75.8,medium,Netherlands,Europe,0.0,133.0,2.0
196,Paris-Sorbonne University – Paris 4,22042,30.2,0.15,68,52.0,44.6,34.3,77.1,32.1,57.9,large,France,Europe,0.0,116.0,2.0
197,Royal Holloway University of London,8931,15.4,0.4,59,51.9,33.9,27.9,85.0,35.0,93.0,medium,United Kingdom,Europe,1.0,148.0,2.0
198,University of California Riverside,20740,20.7,0.14,51,51.7,30.0,30.9,92.3,37.4,63.9,large,United States,North America,1.0,172.0,3.0
198,University of Gothenburg,18378,10.0,0.13,49,51.7,26.7,39.2,87.5,38.9,62.5,large,Sweden,Europe,0.0,145.0,2.0
198,National Taiwan University,31758,11.5,0.08,40,51.7,50.4,54.7,53.4,65.0,33.4,large,Taiwan,Asia,0.0,91.0,1.0
201–250,Aalborg University,15512,13.6,0.13,49,51.0,28.2,36.2,84.2,46.5,70.7,large,Denmark,Europe,0.0,113.0,2.0
201–250,University of Antwerp,16056,35.2,0.16,53,51.3,34.6,40.1,73.3,75.9,66.3,large,Belgium,Europe,0.0,106.0,2.0
201–250,University of Barcelona,47458,12.4,0.1,61,49.1,32.4,32.5,83.2,34.0,50.6,large,Spain,Europe,0.0,144.0,2.0
201–250,University of Bergen,12554,12.0,0.13,60,51.5,29.2,30.6,90.0,35.2,75.3,medium,Norway,Europe,0.0,135.0,2.0
201–250,University of Bologna,62296,22.2,0.1,56,50.6,43.6,30.1,80.0,39.1,47.4,large,Italy,Europe,0.0,123.0,2.0
201–250,Brandeis University,5620,12.9,0.25,55,50.4,28.9,24.3,99.7,33.7,49.8,medium,United States,North America,1.0,172.0,3.0
201–250,University of Calgary,27084,15.7,0.19,53,51.1,34.6,35.8,77.2,53.5,73.6,large,Canada,North America,1.0,154.0,3.0
201–250,Chalmers University of Technology,9112,11.4,0.16,31,48.7,35.1,39.6,62.3,70.2,78.3,medium,Sweden,Europe,0.0,145.0,2.0
201–250,University of Cincinnati,28035,20.7,0.09,52,48.5,36.9,30.3,82.0,41.0,35.6,large,United States,North America,1.0,172.0,3.0
201–250,Copenhagen Business School,19079,44.3,0.23,49,50.3,24.2,36.6,80.8,40.4,91.2,large,Denmark,Europe,0.0,113.0,2.0
201–250,University of Delaware,20125,16.8,0.1,57,49.1,27.8,37.5,79.5,91.0,45.4,large,United States,North America,1.0,172.0,3.0
201–250,University of Duisburg-Essen,41916,53.8,0.13,48,51.2,32.8,29.9,88.8,73.8,52.7,large,Germany,Europe,0.0,118.0,2.0
201–250,Florida State University,38386,26.3,0.07,55,51.5,41.3,42.0,73.3,37.2,47.3,large,United States,North America,1.0,172.0,3.0
201–250,University of Fribourg,10769,45.4,0.18,58,48.4,34.2,35.0,65.5,58.5,86.9,medium,Switzerland,Europe,0.0,146.0,2.0
201–250,George Washington University,22015,12.9,0.16,58,50.3,44.8,30.4,77.2,32.6,50.3,large,United States,North America,1.0,172.0,3.0
201–250,University of Hamburg,38182,48.4,0.12,56,51.2,43.5,42.0,65.0,67.7,58.0,large,Germany,Europe,0.0,118.0,2.0
201–250,University of Hawai’i at M_noa,16256,11.0,0.13,56,51.4,37.3,37.1,76.2,49.9,65.9,large,United States,North America,1.0,172.0,3.0
201–250,Hebrew University of Jerusalem,17454,11.2,0.05,55,51.3,39.9,41.7,71.8,36.3,58.2,large,Israel,Asia,0.0,68.0,1.0
201–250,University of Iceland,8693,15.3,0.1,66,48.7,19.5,29.0,93.4,57.3,63.0,medium,Iceland,Europe,0.0,121.0,2.0
201–250,University of Iowa,27310,12.4,0.13,52,50.4,42.0,34.0,78.2,60.6,35.4,large,United States,North America,1.0,172.0,3.0
201–250,James Cook University,11867,22.5,0.12,62,48.7,23.4,27.7,89.1,42.9,73.9,medium,Australia,Oceania,1.0,173.0,4.0
201–250,University of Kiel,25392,23.4,0.08,53,50.4,31.5,28.1,94.4,9.1,52.4,large,Germany,Europe,0.0,118.0,2.0
201–250,King Abdulaziz University,31554,8.1,0.21,54,50.3,25.6,15.3,97.3,77.8,92.0,large,Saudi Arabia,Asia,0.0,87.0,1.0
201–250,University of Konstanz,11381,48.2,0.12,54,51.0,39.1,44.5,65.2,69.9,61.8,medium,Germany,Europe,0.0,118.0,2.0
201–250,Korea University,23037,15.6,0.19,46,48.5,44.7,47.7,49.0,97.7,49.0,large,South Korea,Asia,0.0,73.0,1.0
201–250,National University of Ireland Galway,13898,26.6,0.18,57,48.3,26.8,30.1,80.5,42.5,80.3,medium,Ireland,Europe,1.0,122.0,2.0
201–250,Osaka University,23256,9.5,0.1,31,49.5,53.7,57.6,38.7,81.3,33.5,large,Japan,Asia,0.0,69.0,1.0
201–250,University of Otago,18157,19.9,0.2,57,51.0,31.2,30.7,82.2,45.1,88.6,large,New Zealand,Oceania,1.0,179.0,4.0
201–250,University of Ottawa,35177,25.6,0.17,59,49.8,37.6,37.5,69.1,40.2,73.6,large,Canada,North America,1.0,154.0,3.0
201–250,Paris Diderot University – Paris 7,27992,14.9,0.17,63,49.6,30.2,25.8,89.7,32.6,67.7,large,France,Europe,0.0,116.0,2.0
201–250,University of Passau,11804,74.8,0.09,61,48.6,30.2,23.6,92.7,40.8,49.0,medium,Germany,Europe,0.0,118.0,2.0
201–250,University of Potsdam,20066,59.1,0.1,58,50.6,35.6,41.4,74.3,42.2,55.0,large,Germany,Europe,0.0,118.0,2.0
201–250,Queen’s University Belfast,17947,16.6,0.32,55,51.1,28.3,32.3,83.1,35.7,94.6,large,United Kingdom,Europe,1.0,148.0,2.0
201–250,Queensland University of Technology,35211,37.0,0.17,54,50.7,30.7,40.3,73.0,63.2,79.1,large,Australia,Oceania,1.0,173.0,4.0
201–250,University of Reading,12874,14.7,0.33,56,50.6,34.6,34.9,73.9,36.9,88.8,medium,United Kingdom,Europe,1.0,148.0,2.0
201–250,Royal College of Surgeons in Ireland,2136,17.6,0.64,55,51.6,31.9,21.8,92.8,40.7,88.6,small,Ireland,Europe,1.0,122.0,2.0
201–250,Ruhr University Bochum,43004,61.1,0.13,49,48.3,36.6,42.9,62.3,73.2,52.3,large,Germany,Europe,0.0,118.0,2.0
201–250,University of South Australia,17575,25.8,0.41,62,48.3,31.5,36.3,63.3,81.6,91.8,large,Australia,Oceania,1.0,173.0,4.0
201–250,St George’s University of London,3174,14.9,0.17,62,49.6,21.4,23.4,100.0,35.3,69.9,small,United Kingdom,Europe,1.0,148.0,2.0
201–250,University of Stuttgart,26059,53.2,0.18,31,50.6,41.1,48.8,60.0,68.8,52.6,large,Germany,Europe,0.0,118.0,2.0
201–250,University of Tampere,9360,22.2,0.03,66,48.3,25.8,32.4,88.2,51.5,41.6,medium,Finland,Europe,0.0,115.0,2.0
201–250,Technical University of Darmstadt,17776,44.5,0.16,30,48.5,39.2,43.7,57.2,95.9,54.3,large,Germany,Europe,0.0,118.0,2.0
201–250,University of Technology Sydney,25256,43.6,0.37,53,50.9,29.7,40.5,71.7,51.0,94.2,large,Australia,Oceania,1.0,173.0,4.0
201–250,Tel Aviv University,22973,23.1,0.04,54,50.7,41.5,52.1,59.4,42.7,49.5,large,Israel,Asia,0.0,68.0,1.0
201–250,University of Texas at Dallas,22967,25.4,0.25,43,48.8,25.7,29.4,89.8,41.5,57.7,large,United States,North America,1.0,172.0,3.0
201–250,Tohoku University,17494,5.5,0.1,26,48.3,49.6,50.6,46.5,68.3,34.7,large,Japan,Asia,0.0,69.0,1.0
201–250,Ulsan National Institute of Science and Technology,4046,14.3,0.07,28,50.1,22.9,30.7,95.9,66.0,47.9,small,South Korea,Asia,0.0,73.0,1.0
201–250,University College Dublin,21605,23.0,0.26,49,49.9,29.2,37.5,74.0,38.1,89.3,large,Ireland,Europe,1.0,122.0,2.0
201–250,University of Utah,30040,14.5,0.1,45,51.6,37.2,34.1,88.5,46.1,33.0,large,United States,North America,1.0,172.0,3.0
201–250,Vita-Salute San Raffaele University,2598,7.1,0.05,58,50.3,34.0,23.1,96.3,32.8,45.7,small,Italy,Europe,0.0,123.0,2.0
201–250,University of Waterloo,32000,26.1,0.17,46,51.2,35.7,41.7,69.8,42.6,80.0,large,Canada,North America,1.0,154.0,3.0
201–250,Western University,28996,22.0,0.17,55,51.0,41.8,36.1,68.8,55.7,75.2,large,Canada,North America,1.0,154.0,3.0
201–250,Yonsei University (Seoul campus),18038,14.7,0.21,45,50.0,48.6,50.2,46.1,99.2,54.6,large,South Korea,Asia,0.0,73.0,1.0
251–300,Aix-Marseille University,66623,16.8,0.12,58,45.2,40.2,22.4,70.0,34.4,60.7,large,France,Europe,0.0,116.0,2.0
251–300,University of Bath,12513,16.3,0.32,45,47.4,33.9,31.7,67.3,36.0,88.3,medium,United Kingdom,Europe,1.0,148.0,2.0
251–300,University of Bayreuth,12917,37.9,0.08,45,46.6,34.4,34.1,67.8,62.7,54.7,medium,Germany,Europe,0.0,118.0,2.0
251–300,Bielefeld University,23683,66.8,0.08,57,46.1,36.9,42.0,58.6,54.5,46.3,large,Germany,Europe,0.0,118.0,2.0
251–300,University of Bremen,19040,34.2,0.11,50,45.9,36.4,36.5,63.2,45.7,52.1,large,Germany,Europe,0.0,118.0,2.0
251–300,University at Buffalo,25247,17.7,0.18,45,46.9,38.8,28.5,69.8,44.7,62.5,large,United States,North America,1.0,172.0,3.0
251–300,Clark University,3316,11.7,0.26,60,47.6,23.7,23.7,93.4,32.6,60.0,small,United States,North America,1.0,172.0,3.0
251–300,University of Colorado Denver,15491,5.0,0.08,55,46.2,30.2,18.0,95.1,42.0,29.0,large,United States,North America,1.0,172.0,3.0
251–300,Colorado School of Mines,5557,17.6,0.11,28,47.1,33.6,26.8,81.7,55.5,41.3,medium,United States,North America,1.0,172.0,3.0
251–300,Dalhousie University,15201,14.9,0.2,55,46.0,26.6,28.3,74.3,41.5,82.4,large,Canada,North America,1.0,154.0,3.0
251–300,École des Ponts ParisTech,1749,12.3,0.41,30,46.5,38.1,16.9,74.9,63.3,79.4,small,France,Europe,0.0,116.0,2.0
251–300,University of Essex,10986,16.5,0.43,55,46.5,33.4,32.0,62.8,32.5,95.8,medium,United Kingdom,Europe,1.0,148.0,2.0
251–300,Goethe University Frankfurt,45387,13.3,0.15,58,45.6,32.5,27.8,73.4,38.6,60.7,large,Germany,Europe,0.0,118.0,2.0
251–300,Griffith University,31772,22.3,0.19,56,46.4,23.4,29.8,77.7,40.7,82.0,large,Australia,Oceania,1.0,173.0,4.0
251–300,University of Hohenheim,9557,42.9,0.13,56,45.2,34.9,28.8,70.0,50.3,51.7,medium,Germany,Europe,0.0,118.0,2.0
251–300,University of Illinois at Chicago,25450,11.4,0.19,52,47.8,42.1,31.6,68.2,42.1,56.2,large,United States,North America,1.0,172.0,3.0
251–300,Indian Institute of Science,3550,8.4,0.01,21,46.7,53.8,48.6,44.4,49.5,19.5,small,India,Asia,0.0,64.0,1.0
251–300,University of Innsbruck,14530,13.1,0.39,54,45.3,27.5,18.5,77.8,37.5,96.7,medium,Austria,Europe,0.0,103.0,2.0
251–300,Johannes Gutenberg University of Mainz,34219,32.1,0.1,59,47.5,36.4,23.6,79.8,57.5,55.2,large,Germany,Europe,0.0,118.0,2.0
251–300,Laval University,29322,16.9,0.13,57,47.4,37.7,28.7,70.3,54.7,66.8,large,Canada,North America,1.0,154.0,3.0
251–300,Macquarie University,27955,31.0,0.22,54,47.5,31.3,34.4,70.0,41.0,77.0,large,Australia,Oceania,1.0,173.0,4.0
251–300,University of Marburg,26062,37.4,0.09,56,46.2,35.7,27.7,75.0,36.6,49.9,large,Germany,Europe,0.0,118.0,2.0
251–300,Medical University of Vienna,7209,2.7,0.28,50,47.7,31.2,13.5,90.2,36.6,84.1,medium,Austria,Europe,0.0,103.0,2.0
251–300,Moscow Institute of Physics and Technology,5761,8.7,0.12,20,48.1,47.7,41.4,50.0,99.9,51.7,medium,Russian Federation,Europe,0.0,139.0,2.0
251–300,University of Newcastle,22921,22.0,0.17,55,45.9,28.0,26.9,73.0,62.9,79.9,large,Australia,Oceania,1.0,173.0,4.0
251–300,North Carolina State University,30254,13.1,0.13,45,46.6,35.6,34.5,68.4,42.5,52.8,large,United States,North America,1.0,172.0,3.0
251–300,Norwegian University of Science and Technology,21571,16.9,0.11,46,46.0,30.7,34.6,68.3,42.0,64.9,large,Norway,Europe,0.0,135.0,2.0
251–300,University of Oregon,23728,18.6,0.14,52,47.3,31.1,30.1,84.7,32.0,37.0,large,United States,North America,1.0,172.0,3.0
251–300,Oregon Health and Science University,2895,1.0,0.02,64,46.8,32.2,15.1,99.0,44.5,24.4,small,United States,North America,1.0,172.0,3.0
251–300,University of Oulu,10287,23.7,0.06,50,46.9,30.2,30.0,79.1,43.2,53.1,medium,Finland,Europe,0.0,115.0,2.0
251–300,Queen’s University,21227,22.7,0.12,57,47.5,40.0,35.9,61.7,51.0,66.3,large,Canada,North America,1.0,154.0,3.0
251–300,University of São Paulo,82258,14.8,0.04,48,45.2,52.9,55.5,31.5,38.1,30.9,large,Brazil,South America,0.0,189.0,5.0
251–300,Simon Fraser University,26309,27.6,0.29,54,48.2,25.6,33.4,75.6,43.5,90.4,large,Canada,North America,1.0,154.0,3.0
251–300,University of Southern Denmark,25328,13.5,0.16,53,46.6,21.4,25.3,83.4,68.8,78.1,large,Denmark,Europe,0.0,113.0,2.0
251–300,University of South Florida,33053,19.6,0.12,49,47.8,29.6,35.8,74.4,93.0,46.9,large,United States,North America,1.0,172.0,3.0
251–300,Stony Brook University,23136,10.4,0.24,49,47.6,33.0,23.8,84.4,33.4,58.7,large,United States,North America,1.0,172.0,3.0
251–300,University of Surrey,11027,14.3,0.38,53,46.5,30.3,33.1,64.5,46.3,92.7,medium,United Kingdom,Europe,1.0,148.0,2.0
251–300,Swansea University,13896,16.1,0.24,47,45.3,22.1,25.6,80.4,34.9,79.9,medium,United Kingdom,Europe,1.0,148.0,2.0
251–300,Swedish University of Agricultural Sciences,3812,4.4,0.04,69,46.6,30.0,27.1,79.3,98.1,42.5,small,Sweden,Europe,0.0,145.0,2.0
251–300,Syracuse University,20180,16.3,0.19,54,46.6,32.8,28.7,79.5,37.0,45.6,large,United States,North America,1.0,172.0,3.0
251–300,Tokyo Institute of Technology,9570,7.3,0.13,14,47.0,49.5,52.9,39.8,67.8,35.8,medium,Japan,Asia,1.0,172.0,3.0
251–300,University of Trento,17759,29.0,0.048,51,47.6,26.2,29.6,85.1,39.9,58.2,large,Italy,Europe,0.0,123.0,2.0
251–300,Umeå University,16553,11.7,0.010,60,46.4,24.9,29.8,81.8,34.9,60.6,large,Sweden,Europe,0.0,145.0,2.0
251–300,Wake Forest University,7579,4.1,0.06,51,46.5,34.8,18.4,91.4,38.4,28.2,medium,United States,North America,1.0,172.0,3.0
251–300,William & Mary,8044,11.8,0.09,55,47.5,44.9,18.2,84.6,32.6,32.2,medium,United States,North America,1.0,172.0,3.0
251–300,University of the Witwatersrand,25342,24.6,0.08,56,45.6,26.6,23.2,76.5,99.9,69.8,large,South Africa,Africa,0.0,44.0,0.0
251–300,University of Wollongong,16947,27.0,0.24,50,46.7,29.4,33.2,67.1,47.7,88.1,large,Australia,Oceania,1.0,173.0,4.0
301–350,Aberystwyth University,7920,18.4,0.18,47,44.5,24.2,25.5,76.7,36.6,74.9,medium,United Kingdom,Europe,1.0,148.0,2.0
301–350,University of Alaska Fairbanks,3769,8.3,0.06,51,43.1,25.3,23.2,78.3,44.9,52.8,small,United States,North America,1.0,172.0,3.0
301–350,Anglia Ruskin University,15197,21.7,0.25,62,44.3,16.7,11.2,99.4,32.6,71.1,large,United Kingdom,Europe,1.0,148.0,2.0
301–350,Babol Noshirvani University of Technology,4749,28.6,0.13,32,43.4,24.8,12.2,99.1,56.1,15.5,small,Iran,Asia,0.0,66.0,1.0
301–350,Bangor University,9327,18.4,0.25,55,43.1,25.7,21.4,72.7,33.4,83.8,medium,United Kingdom,Europe,1.0,148.0,2.0
301–350,Birkbeck University of London,9014,16.8,0.39,54,44.8,30.5,32.0,62.2,32.4,87.5,medium,United Kingdom,Europe,1.0,148.0,2.0
301–350,University of Bordeaux,52526,21.0,0.12,58,43.4,31.0,22.0,75.2,34.8,54.3,large,France,Europe,0.0,116.0,2.0
301–350,Boston College,12943,16.1,0.12,55,44.5,37.0,20.0,74.1,43.8,53.8,medium,United States,North America,1.0,172.0,3.0
301–350,Brighton and Sussex Medical School,761,12.1,0.16,59,44.8,18.8,12.9,97.0,31.7,72.0,small,United Kingdom,Europe,1.0,148.0,2.0
301–350,Charles Darwin University,6551,22.4,0.32,63,44.5,17.9,18.6,88.0,38.8,82.2,medium,Australia,Oceania,1.0,173.0,4.0
301–350,University of Connecticut,26669,12.7,0.12,51,43.8,35.7,28.5,66.8,34.6,48.5,large,United States,North America,1.0,172.0,3.0
301–350,Deakin University,36768,32.9,0.17,58,43.3,23.3,26.6,72.0,36.2,77.7,large,Australia,Oceania,1.0,173.0,4.0
301–350,University of Denver,9671,13.2,0.11,56,45.1,35.9,29.8,74.4,35.7,28.8,medium,United States,North America,1.0,172.0,3.0
301–350,University of Eastern Finland,11459,18.3,0.06,63,43.7,25.2,26.1,79.1,36.2,49.3,medium,Finland,Europe,0.0,115.0,2.0
301–350,Flinders University,16757,23.9,0.18,63,44.6,22.9,27.6,77.9,39.4,68.4,large,Australia,Oceania,1.0,173.0,4.0
301–350,Free University of Bozen-Bolzano,3304,11.6,0.12,33,43.4,22.0,14.3,88.6,32.1,68.9,small,Italy,Europe,0.0,123.0,2.0
301–350,George Mason University,27749,17.5,0.08,54,43.2,28.5,26.4,76.0,33.2,40.8,large,United States,North America,1.0,172.0,3.0
301–350,Goldsmiths University of London,7416,13.9,0.37,66,43.1,33.9,26.0,62.0,31.8,77.0,medium,United Kingdom,Europe,1.0,148.0,2.0
301–350,Grenoble Alpes University,39298,17.0,0.15,57,44.0,30.9,22.9,74.9,33.8,60.7,large,France,Europe,0.0,116.0,2.0
301–350,University of Houston,41128,42.9,0.1,50,43.4,36.8,34.1,60.5,37.8,39.8,large,United States,North America,1.0,172.0,3.0
301–350,Iowa State University,31307,18.8,0.12,45,43.0,29.1,31.4,65.3,48.6,53.8,large,United States,North America,1.0,172.0,3.0
301–350,University of Kent,16949,12.7,0.31,53,42.5,25.1,23.6,67.8,32.1,90.2,large,United Kingdom,Europe,1.0,148.0,2.0
301–350,Khalifa University of Science and Technology,3134,8.3,0.32,46,43.5,23.4,18.7,71.4,84.5,97.9,small,United Arab Emirates,Asia,0.0,96.0,1.0
301–350,Koç University,5172,14.9,0.1,52,43.0,25.7,32.1,65.2,84.3,53.8,medium,Turkey,Asia,0.0,94.0,1.0
301–350,University of Liège,21910,27.1,0.23,56,42.9,25.8,33.6,57.9,96.8,71.0,large,Belgium,Europe,0.0,106.0,2.0
301–350,Loughborough University,13457,14.9,0.22,39,42.5,34.0,32.9,52.7,38.5,74.8,medium,United Kingdom,Europe,1.0,148.0,2.0
301–350,Medical University of Graz,3323,6.9,0.23,53,44.5,24.3,15.7,85.8,46.9,74.8,small,Austria,Europe,0.0,103.0,2.0
301–350,University of Milan,56805,28.1,0.05,59,44.3,34.1,25.9,73.7,42.9,41.4,large,Italy,Europe,0.0,123.0,2.0
301–350,Nagoya University,15594,7.9,0.1,29,45.0,44.9,47.2,43.2,87.2,29.9,large,Japan,Asia,0.0,69.0,1.0
301–350,National Tsing Hua University,10194,13.8,0.05,33,43.9,38.0,37.1,59.4,54.8,29.0,medium,Taiwan,Asia,0.0,91.0,1.0
