rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook,size,country,continent,english_spoken,size_int,country_int,continent_int
43,The University of Tokyo,26199,5.7,0.1,49,71.1,81.4,83.0,60.9,50.8,30.3,large,Japan,Asia,0.0,2.0,69.0,1.0
44,University of California,35364,13.9,0.13,54,71.0,60.1,72.7,84.3,57.3,58.4,large,United States,North America,1.0,2.0,172.0,3.0
44,University of Hong Kong,19835,17.6,0.38,53,71.0,64.6,72.8,70.1,53.7,99.5,large,Hong Kong,Asia,0.0,2.0,63.0,1.0
46,University of Texas at Austin,49427,17.4,0.09,51,70.3,59.3,69.7,92.2,63.1,31.7,large,United States,North America,1.0,2.0,172.0,3.0
47,Tsinghua University,39763,13.7,0.1,32,70.0,73.3,83.0,58.8,100.0,39.5,large,China,Asia,0.0,2.0,61.0,1.0
47,Wageningen University & Research,9248,17.0,0.21,56,70.0,52.6,66.9,87.8,100.0,70.3,medium,Netherlands,Europe,0.0,1.0,133.0,2.0
49,Humboldt University of Berlin,29987,52.5,0.16,49,69.9,63.7,77.0,73.6,36.1,62.6,large,Germany,Europe,0.0,2.0,118.0,2.0
50,University of Wisconsin-Madison,39655,10.8,0.11,51,69.7,65.1,68.2,86.6,48.5,33.0,large,United States,North America,1.0,2.0,172.0,3.0
51,Brown University,8653,10.1,0.19,49,69.6,62.8,55.7,96.4,31.4,57.8,medium,United States,North America,1.0,1.0,172.0,3.0
52,Australian National University,14604,19.2,0.35,52,69.5,54.7,77.3,72.3,48.0,93.3,medium,Australia,Oceania,1.0,1.0,173.0,4.0
53,Technical University of Munich,35565,31.5,0.2,33,69.4,61.0,66.0,80.1,99.2,63.8,large,Germany,Europe,0.0,2.0,118.0,2.0
54,École Normale Supérieure,2400,7.9,0.2,46,69.0,70.6,47.7,87.1,37.1,85.5,small,France,Europe,0.0,0.0,116.0,2.0
55,Nanyang Technological University,25028,16.2,0.33,48,68.2,48.4,61.3,85.6,99.9,94.6,large,Singapore,Asia,0.0,2.0,88.0,1.0
56,University of Manchester,34938,15.3,0.34,52,68.1,58.4,66.0,77.3,42.0,87.0,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
56,University of Sydney,41868,20.2,0.28,57,68.1,54.3,68.1,77.5,72.4,84.4,large,Australia,Oceania,1.0,2.0,173.0,4.0
58,University of Amsterdam,24570,14.4,0.11,53,67.8,52.2,64.7,87.4,62.8,66.5,large,Netherlands,Europe,0.0,2.0,133.0,2.0
59,Hong Kong University of Science and Technology,11385,23.8,0.36,49,67.2,49.4,66.1,82.6,68.1,80.5,medium,Hong Kong,Asia,0.0,1.0,63.0,1.0
60,University of Queensland,34718,32.7,0.27,53,67.0,49.2,62.8,82.4,76.7,89.3,large,Australia,Oceania,1.0,2.0,173.0,4.0
60,Washington University in St Louis,12528,5.7,0.17,0,67.0,54.3,55.6,99.2,33.5,44.9,medium,United States,North America,1.0,1.0,172.0,3.0
62,Utrecht University,30779,15.4,0.07,59,66.6,48.1,64.3,88.1,89.1,55.8,large,Netherlands,Europe,0.0,2.0,133.0,2.0
63,University of North Carolina at Chapel Hill,26518,7.3,0.08,58,66.4,58.0,54.5,95.9,39.4,39.0,large,United States,North America,1.0,2.0,172.0,3.0
64,Boston University,24789,8.6,0.17,58,66.1,57.8,49.5,97.7,30.3,51.0,large,United States,North America,1.0,2.0,172.0,3.0
65,Delft University of Technology,15920,19.4,0.25,26,65.9,55.0,73.8,61.5,100.0,84.0,large,Netherlands,Europe,0.0,2.0,133.0,2.0
65,University of Minnesota,46825,18.0,0.12,52,65.9,53.5,61.0,88.0,98.5,35.3,large,United States,North America,1.0,2.0,172.0,3.0
67,Leiden University,21222,17.1,0.09,59,65.7,50.5,63.1,85.2,49.8,64.3,large,Netherlands,Europe,0.0,2.0,133.0,2.0
68,University of Southern California,36534,12.9,0.2,52,65.5,49.3,58.9,93.0,38.0,56.3,large,United States,North America,1.0,2.0,172.0,3.0
69,University of Bristol,17906,14.0,0.25,53,64.3,47.6,51.6,91.2,40.0,82.4,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
70,Durham University,15489,15.7,0.24,54,63.6,47.9,51.9,87.7,34.4,86.4,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
71,Erasmus University Rotterdam,20580,18.9,0.17,48,63.5,37.2,55.2,95.6,54.6,76.1,large,Netherlands,Europe,0.0,2.0,133.0,2.0
72,Free University of Berlin,33062,39.3,0.2,58,63.2,57.9,72.2,60.2,35.1,69.2,large,Germany,Europe,0.0,2.0,118.0,2.0
73,Monash University,50882,40.5,0.36,56,62.8,48.3,59.1,73.3,82.5,87.6,large,Australia,Oceania,1.0,2.0,173.0,4.0
74,University of Groningen,24556,25.6,0.11,52,62.4,43.3,56.9,84.0,92.4,63.9,large,Netherlands,Europe,0.0,2.0,133.0,2.0
75,Pennsylvania State University,44501,12.4,0.12,46,62.3,50.4,61.9,80.5,56.2,40.8,large,United States,North America,1.0,2.0,172.0,3.0
76,University of Glasgow,22616,16.0,0.29,57,61.9,41.6,48.3,92.3,31.6,85.8,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
76,University of Helsinki,23505,15.1,0.06,66,61.9,48.4,60.4,82.1,31.6,51.8,large,Finland,Europe,0.0,2.0,115.0,2.0
78,University of Tübingen,28327,38.9,0.12,58,61.7,47.0,59.8,79.3,59.2,58.2,large,Germany,Europe,0.0,2.0,118.0,2.0
79,University of Pittsburgh,26485,5.8,0.1,51,61.5,50.6,50.3,92.3,39.3,33.9,large,United States,North America,1.0,2.0,172.0,3.0
80,University of Warwick,18529,16.6,0.37,48,61.3,47.4,53.1,78.2,37.7,90.3,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
81,Uppsala University,25266,18.2,0.12,57,61.2,44.1,61.0,80.9,39.5,59.6,large,Sweden,Europe,0.0,2.0,145.0,2.0
82,University of Copenhagen,27545,4.1,0.19,67,61.0,49.8,42.7,86.2,45.0,83.3,large,Denmark,Europe,0.0,2.0,113.0,2.0
82,University of New South Wales,38309,25.9,0.32,47,61.0,40.7,53.9,82.1,50.0,89.5,large,Australia,Oceania,1.0,2.0,173.0,4.0
84,University of Freiburg,26467,31.2,0.16,52,60.7,47.4,51.1,80.5,100.0,60.3,large,Germany,Europe,0.0,2.0,118.0,2.0
85,Seoul National University,26389,13.9,0.1,49,60.5,66.5,70.5,50.0,85.4,30.9,large,South Korea,Asia,0.0,2.0,73.0,1.0
86,University of St Andrews,8338,12.7,0.47,56,60.4,49.7,47.3,78.8,30.6,92.3,medium,United Kingdom,Europe,1.0,1.0,148.0,2.0
87,Vanderbilt University,12161,3.6,0.09,52,60.1,47.8,44.2,95.7,63.2,29.1,medium,United States,North America,1.0,1.0,172.0,3.0
88,Kyoto University,22809,5.6,0.07,24,59.9,70.6,69.3,46.6,79.0,26.1,large,Japan,Asia,0.0,2.0,69.0,1.0
88,Maastricht University,15626,18.9,0.48,56,59.9,37.5,47.7,82.7,95.4,95.5,large,Netherlands,Europe,0.0,2.0,133.0,2.0
90,Emory University,12338,4.5,0.18,56,59.7,48.3,37.1,96.7,48.9,51.0,medium,United States,North America,1.0,1.0,172.0,3.0
90,Lund University,28251,11.5,0.15,44,59.7,39.7,53.6,81.3,70.4,74.1,large,Sweden,Europe,0.0,2.0,145.0,2.0
90,Ohio State University,51462,13.4,0.12,49,59.7,51.6,46.6,83.2,53.1,53.0,large,United States,North America,1.0,2.0,172.0,3.0
93,University of Exeter,17755,18.8,0.28,54,59.5,39.4,40.0,94.3,31.9,87.3,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
94,University of Bonn,32474,70.4,0.12,55,58.8,45.1,47.5,85.3,60.4,63.6,large,Germany,Europe,0.0,2.0,118.0,2.0
94,Georgetown University,15408,8.5,0.14,53,58.8,54.4,39.3,82.5,80.7,52.7,large,United States,North America,1.0,2.0,172.0,3.0
94,McMaster University,23823,19.3,0.15,53,58.8,39.8,44.8,84.9,88.0,76.1,large,Canada,North America,1.0,2.0,154.0,3.0
97,University of Sheffield,23311,15.5,0.31,50,58.6,42.4,48.8,80.1,43.4,81.9,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
98,Queen Mary University of London,14260,14.0,0.4,52,58.5,34.1,41.3,93.3,36.8,93.5,medium,United Kingdom,Europe,1.0,1.0,148.0,2.0
99,University of Göttingen,25581,25.6,0.12,51,58.0,49.3,54.5,72.7,31.8,56.4,large,Germany,Europe,0.0,2.0,118.0,2.0
99,Michigan State University,44750,15.7,0.15,51,58.0,47.3,52.6,76.8,32.2,56.4,large,United States,North America,1.0,2.0,172.0,3.0
101,University of Basel,12551,17.3,0.24,54,57.9,39.5,33.1,88.3,99.9,94.7,medium,Switzerland,Europe,0.0,1.0,146.0,2.0
101,École Polytechnique,2429,4.8,0.3,18,57.9,53.5,44.6,64.7,82.3,92.8,small,France,Europe,0.0,0.0,116.0,2.0
101,Rice University,6333,9.0,0.26,44,57.9,37.9,35.1,99.7,41.7,66.6,medium,United States,North America,1.0,1.0,172.0,3.0
101,Trinity College Dublin,15520,22.3,0.25,57,57.9,45.5,46.2,75.8,32.8,90.8,large,Ireland,Europe,1.0,2.0,122.0,2.0
104,Dartmouth College,6178,6.6,0.16,47,57.8,50.7,35.8,93.3,40.8,38.3,medium,United States,North America,1.0,1.0,172.0,3.0
104,University of Zurich,26583,6.5,0.19,57,57.8,49.5,31.5,85.4,44.0,90.4,large,Switzerland,Europe,0.0,2.0,146.0,2.0
106,University of California,26614,16.1,0.16,52,57.7,39.9,41.8,91.6,48.9,59.2,large,United States,North America,1.0,2.0,172.0,3.0
106,Aarhus University,23895,13.6,0.14,54,57.7,36.9,50.7,79.8,68.3,76.8,large,Denmark,Europe,0.0,2.0,113.0,2.0
106,University of Mannheim,11761,85.8,0.15,55,57.7,34.5,47.7,86.9,85.3,64.6,medium,Germany,Europe,0.0,1.0,118.0,2.0
108,University of Notre Dame,11829,13.8,0.1,44,57.6,47.6,48.1,81.7,33.7,47.6,medium,United States,North America,1.0,1.0,172.0,3.0
